Feature,SHAP_Value,Absolute_Impact
Morgan_Bit_2000,-0.00051748473,0.00051748473
Morgan_Bit_354,0.0005156955,0.0005156955
Morgan_Bit_1446,0.00051337795,0.00051337795
Morgan_Bit_164,0.00051175704,0.00051175704
Morgan_Bit_167,-0.0005102866,0.0005102866
Morgan_Bit_153,-0.0005041333,0.0005041333
Morgan_Bit_1761,0.00050397747,0.00050397747
Morgan_Bit_930,0.00049595325,0.00049595325
Morgan_Bit_670,-0.0004948133,0.0004948133
Morgan_Bit_1714,0.0004904168,0.0004904168
Morgan_Bit_4,0.00048581275,0.00048581275
Morgan_Bit_1738,-0.00048458035,0.00048458035
Morgan_Bit_838,0.00048290778,0.00048290778
Morgan_Bit_278,0.0004792423,0.0004792423
Morgan_Bit_557,-0.00047731216,0.00047731216
Morgan_Bit_598,0.0004768049,0.0004768049
Morgan_Bit_1600,0.00047457236,0.00047457236
Morgan_Bit_315,-0.00047268363,0.00047268363
Morgan_Bit_552,0.00046901478,0.00046901478
Morgan_Bit_1970,-0.00046442487,0.00046442487
Morgan_Bit_287,0.00046362524,0.00046362524
Morgan_Bit_933,0.00046280515,0.00046280515
Morgan_Bit_237,0.00046144094,0.00046144094
Morgan_Bit_235,0.00045518854,0.00045518854
Morgan_Bit_6,0.0004549488,0.0004549488
Morgan_Bit_714,0.00045111388,0.00045111388
Morgan_Bit_998,-0.0004508181,0.0004508181
Morgan_Bit_692,0.00045043387,0.00045043387
Morgan_Bit_1031,0.0004451461,0.0004451461
Morgan_Bit_69,0.00044476805,0.00044476805
Morgan_Bit_754,0.0004441718,0.0004441718
Morgan_Bit_1276,-0.00044399287,0.00044399287
Morgan_Bit_806,0.00044325914,0.00044325914
Morgan_Bit_204,-0.0004358864,0.0004358864
Morgan_Bit_1008,0.0004318015,0.0004318015
Morgan_Bit_1828,-0.0004308685,0.0004308685
Morgan_Bit_580,0.00043012935,0.00043012935
Morgan_Bit_289,-0.00041576123,0.00041576123
Morgan_Bit_1668,0.0004116925,0.0004116925
Morgan_Bit_1282,0.0004070055,0.0004070055
Morgan_Bit_1546,0.00040696163,0.00040696163
Morgan_Bit_2006,0.0004066418,0.0004066418
Morgan_Bit_1260,0.00040516723,0.00040516723
Morgan_Bit_1232,0.00040147995,0.00040147995
Morgan_Bit_1626,0.00039708617,0.00039708617
Morgan_Bit_70,0.00039674423,0.00039674423
Morgan_Bit_724,0.00039423656,0.00039423656
Morgan_Bit_79,-0.00039139573,0.00039139573
Morgan_Bit_491,0.00038571344,0.00038571344
Morgan_Bit_30,-0.00038544074,0.00038544074
Morgan_Bit_1359,-0.0003817176,0.0003817176
Morgan_Bit_2038,-0.00037790678,0.00037790678
Morgan_Bit_1155,0.0003767511,0.0003767511
Morgan_Bit_912,-0.00037551654,0.00037551654
Morgan_Bit_1457,-0.00037449435,0.00037449435
Morgan_Bit_1656,0.00036742346,0.00036742346
Morgan_Bit_1610,0.00036450435,0.00036450435
Morgan_Bit_899,0.00036187185,0.00036187185
Morgan_Bit_1589,0.00036053173,0.00036053173
Morgan_Bit_775,-0.00036041753,0.00036041753
Morgan_Bit_919,-0.00035410936,0.00035410936
Morgan_Bit_275,-0.0003537171,0.0003537171
Morgan_Bit_1793,0.0003481663,0.0003481663
Morgan_Bit_790,-0.00034774558,0.00034774558
Morgan_Bit_1252,-0.00034206678,0.00034206678
Morgan_Bit_327,0.00033702338,0.00033702338
Morgan_Bit_1879,0.0003307503,0.0003307503
Morgan_Bit_551,-0.0003296136,0.0003296136
Morgan_Bit_165,-0.00032958778,0.00032958778
Morgan_Bit_383,-0.00032940207,0.00032940207
Morgan_Bit_755,-0.00032789572,0.00032789572
Morgan_Bit_232,0.00032557204,0.00032557204
Morgan_Bit_774,-0.0003239897,0.0003239897
Morgan_Bit_203,0.00031978975,0.00031978975
Morgan_Bit_904,0.000319282,0.000319282
Morgan_Bit_1269,0.0003191085,0.0003191085
Morgan_Bit_1382,0.0003166232,0.0003166232
Morgan_Bit_1073,0.00030579598,0.00030579598
Morgan_Bit_558,0.0003031356,0.0003031356
Morgan_Bit_761,-0.00030253376,0.00030253376
Morgan_Bit_119,-0.00030234348,0.00030234348
Morgan_Bit_1015,-0.0002989694,0.0002989694
Morgan_Bit_265,0.00029812963,0.00029812963
Morgan_Bit_766,0.00029471904,0.00029471904
Morgan_Bit_257,-0.00029363242,0.00029363242
Morgan_Bit_121,-0.00029240246,0.00029240246
Morgan_Bit_1978,0.00029224806,0.00029224806
Morgan_Bit_1058,-0.0002918595,0.0002918595
Morgan_Bit_1985,-0.00029112652,0.00029112652
Morgan_Bit_1673,0.00028926146,0.00028926146
Morgan_Bit_1536,-0.00028687558,0.00028687558
Morgan_Bit_1845,-0.0002861648,0.0002861648
Morgan_Bit_1405,0.00028614176,0.00028614176
Morgan_Bit_1201,0.00028136733,0.00028136733
Morgan_Bit_1517,0.00027608787,0.00027608787
Morgan_Bit_270,0.0002745912,0.0002745912
Morgan_Bit_1763,-0.00027363366,0.00027363366
Morgan_Bit_1670,-0.00026678963,0.00026678963
Morgan_Bit_152,0.0002642811,0.0002642811
Morgan_Bit_1955,0.00026331007,0.00026331007
Morgan_Bit_1304,-0.0002625299,0.0002625299
Morgan_Bit_546,-0.00025864603,0.00025864603
Morgan_Bit_1203,0.00025805813,0.00025805813
Morgan_Bit_1783,-0.00025286994,0.00025286994
Morgan_Bit_297,0.0002520959,0.0002520959
Morgan_Bit_1630,-0.00024958697,0.00024958697
Morgan_Bit_1954,-0.00024813038,0.00024813038
Morgan_Bit_770,-0.00024770733,0.00024770733
Morgan_Bit_239,-0.00024634477,0.00024634477
Morgan_Bit_366,-0.00024604888,0.00024604888
Morgan_Bit_1695,-0.00024287737,0.00024287737
Morgan_Bit_1773,-0.00024206213,0.00024206213
Morgan_Bit_93,-0.0002406021,0.0002406021
Morgan_Bit_586,-0.00024040134,0.00024040134
Morgan_Bit_604,-0.0002399828,0.0002399828
Morgan_Bit_1706,0.0002394586,0.0002394586
Morgan_Bit_36,0.00023933407,0.00023933407
Morgan_Bit_409,0.00023602719,0.00023602719
Morgan_Bit_1483,-0.00023551345,0.00023551345
Morgan_Bit_1543,0.00023404353,0.00023404353
Morgan_Bit_1482,-0.00023288798,0.00023288798
Morgan_Bit_592,-0.00023217694,0.00023217694
Morgan_Bit_1897,0.00023112177,0.00023112177
Morgan_Bit_1842,-0.00023107642,0.00023107642
Morgan_Bit_1742,-0.00022897235,0.00022897235
